"","market","airlineaa","airlinedl","airlineua","airlineal","airlinelcc","airlinewn","airport1","state1","city1","population1","route1","tourism1","airport2","state2","city2","population2","route2","tourism2","distance","distancesq","passengers","airpresence","population","route","firm_nb"
"104","AGSSAT",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"SAT","US-TX","San Antonio",1144646,80,0,1017,1034289,371,377307,669914,51.5,1
"105","AGSSEA",0,0,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"SEA","US-WA","Seattle",563374,86,0,2325,5405625,419,974175,379278,54.5,0
"106","AGSSFO",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"SFO","US-CA","San Francisco",776733,88,1,2282,5207524,501,1143282,485957.5,55.5,1
"107","AGSSTL",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"STL","US-MO","St Louis",348189,90,0,626,391876,457,286082,271685.5,56.5,1
"108","AGSTPA",0,1,0,0,0,0,"AGS","US-GA","Augusta",195182,23,0,"TPA","US-FL","Tampa",303447,92,1,549,301401,732,401868,249314.5,57.5,1
"109","ALBATL",0,1,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"ATL","US-GA","Atlanta",416474,97,0,852,725904,8201,6987252,256066,73.5,2
"110","ALBAUS",1,1,0,0,0,1,"ALB","US-NY","Albany",95658,50,0,"AUS","US-TX","Austin",656562,74,0,1574,2477476,2083,3278642,376110,62,3
"111","ALBBHM",0,1,0,0,0,0,"ALB","US-NY","Albany",95658,50,0,"BHM","US-AL","Birmingham",242820,60,0,965,931225,1102,1063430,169239,55,1
"112","ALBBNA",0,1,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"BNA","US-TN","Nashville",545524,86,0,825,680625,3434,2833050,320591,68,3
"113","ALBBWI",0,0,0,0,0,1,"ALB","US-NY","Albany",95658,50,0,"BWI","US-MD","Baltimore",651154,85,0,288,82944,25754,7417152,373406,67.5,1
"114","ALBCHS",0,0,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"CHS","US-SC","Charleston",96650,55,0,762,580644,857,653034,96154,52.5,1
"115","ALBCMH",0,0,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"CMH","US-OH","Columbus",711470,73,0,508,258064,1481,752348,403564,61.5,2
"116","ALBCVG",0,1,0,0,0,0,"ALB","US-NY","Albany",95658,50,0,"CVG","US-KY","Cincinnati",331285,70,0,623,388129,2167,1350041,213471.5,60,1
"117","ALBDAB",0,1,0,0,0,0,"ALB","US-NY","Albany",95658,50,0,"DAB","US-FL","Daytona Beach",64112,34,1,1027,1054729,497,510419,79885,42,1
"118","ALBDAL",0,0,0,0,0,0,"ALB","US-NY","Albany",95658,50,0,"DAL","US-TX","Dallas",1188580,93,0,1439,2070721,170,244630,642119,71.5,0
"119","ALBDCA",0,0,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"DCA","US-DC","Washington",572059,87,0,318,101124,4137,1315566,333858.5,68.5,1
"120","ALBDEN",1,1,1,1,0,0,"ALB","US-NY","Albany",95658,50,0,"DEN","US-CO","Denver",554636,95,0,1609,2588881,4692,7549428,325147,72.5,4
"121","ALBDFW",1,1,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"DFW","US-TX","Dallas-Fort Worth",534694,98,0,1435,2059225,4299,6169065,315176,74,3
"122","ALBFLL",0,1,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"FLL","US-FL","Fort Lauderdale",152397,84,1,1204,1449616,8382,10091928,124027.5,67,3
"123","ALBGSO",0,0,0,0,0,0,"ALB","US-NY","Albany",95658,50,0,"GSO","US-NC","Greensboro",223891,46,0,564,318096,722,407208,159774.5,48,0
"124","ALBGSP",0,1,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"GSP","US-SC","Greenville",56720,36,0,706,498436,1004,708824,76189,43,2
"125","ALBHOU",0,0,0,0,0,1,"ALB","US-NY","Albany",95658,50,0,"HOU","US-TX","Houston",1953631,70,0,1495,2235025,1555,2324725,1024644.5,60,1
"126","ALBIND",0,0,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"IND","US-IN","Indianapolis",781870,76,0,682,465124,2371,1617022,438764,63,2
"127","ALBJAX",0,1,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"JAX","US-FL","Jacksonville",735617,73,1,951,904401,3138,2984238,415637.5,61.5,3
"128","ALBJFK",1,0,0,0,0,0,"ALB","US-NY","Albany",95658,50,0,"JFK","US-NY","New York",8008278,51,0,145,21025,868,125860,4051968,50.5,1
"129","ALBLAX",1,1,1,1,0,1,"ALB","US-NY","Albany",95658,50,0,"LAX","US-CA","Los Angeles",3694820,95,1,2467,6086089,8433,20804212,1895239,72.5,5
"130","ALBMCI",0,1,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"MCI","US-MO","Kansas City",441545,86,0,1115,1243225,2331,2599065,268601.5,68,3
"131","ALBMCO",0,1,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"MCO","US-FL","Orlando",185951,92,1,1073,1151329,25422,27277806,140804.5,71,3
"132","ALBMDW",0,0,0,0,0,1,"ALB","US-NY","Albany",95658,50,0,"MDW","US-IL","Chicago",2896016,60,0,717,514089,2333,1672761,1495837,55,1
"133","ALBMIA",1,1,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"MIA","US-FL","Miami",362470,89,1,1225,1500625,2144,2626400,229064,69.5,3
"134","ALBMKE",0,0,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"MKE","US-WI","Milwaukee",596974,64,0,726,527076,1305,947430,346316,57,1
"135","ALBMLB",0,1,0,0,0,0,"ALB","US-NY","Albany",95658,50,0,"MLB","US-FL","Melbourne",71382,28,1,1086,1179396,321,348606,83520,39,1
"136","ALBMSY",0,1,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"MSY","US-LA","New Orleans",484674,87,0,1277,1630729,2548,3253796,290166,68.5,3
"137","ALBOAK",0,0,1,0,0,1,"ALB","US-NY","Albany",95658,50,0,"OAK","US-CA","Oakland",399484,57,1,2548,6492304,1867,4757116,247571,53.5,2
"138","ALBORD",1,0,1,1,0,0,"ALB","US-NY","Albany",95658,50,0,"ORD","US-IL","Chicago",2896016,97,0,723,522729,8752,6327696,1495837,73.5,3
"139","ALBORF",0,0,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"ORF","US-VA","Norfolk",234403,66,0,423,178929,1415,598545,165030.5,58,1
"140","ALBPBI",0,1,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"PBI","US-FL","West Palm Beach",82103,68,1,1163,1352569,5840,6791920,88880.5,59,3
"141","ALBPDX",0,1,1,1,0,0,"ALB","US-NY","Albany",95658,50,0,"PDX","US-OR","Portland",529121,68,0,2395,5736025,2637,6315615,312389.5,59,3
"142","ALBRDU",0,1,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"RDU","US-NC","Raleigh/Durham",463128,77,0,543,294849,5840,3171120,279393,63.5,3
"143","ALBRIC",0,0,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"RIC","US-VA","Richmond",197790,50,0,408,166464,868,354144,146724,50,1
"144","ALBRSW",0,1,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"RSW","US-FL","Fort Myers",51970,68,1,1204,1449616,2780,3347120,73814,59,2
"145","ALBSAN",1,1,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"SAN","US-CA","San Diego",1223400,85,1,2445,5978025,4563,11156535,659529,67.5,4
"146","ALBSAT",1,1,0,0,0,1,"ALB","US-NY","Albany",95658,50,0,"SAT","US-TX","San Antonio",1144646,80,0,1647,2712609,2095,3450465,620152,65,3
"147","ALBSDF",0,0,0,1,0,1,"ALB","US-NY","Albany",95658,50,0,"SDF","US-KY","Louisville",256231,62,0,702,492804,1506,1057212,175944.5,56,2
"148","ALBSEA",1,1,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"SEA","US-WA","Seattle",563374,86,0,2415,5832225,4825,11652375,329516,68,3
"149","ALBSFO",1,0,0,1,0,0,"ALB","US-NY","Albany",95658,50,0,"SFO","US-CA","San Francisco",776733,88,1,2559,6548481,3371,8626389,436195.5,69,2
"150","ALBSJC",1,1,1,0,0,0,"ALB","US-NY","Albany",95658,50,0,"SJC","US-CA","San Jose",894943,59,1,2543,6466849,3059,7779037,495300.5,54.5,3
"151","ALBSLC",1,1,1,0,0,0,"ALB","US-NY","Albany",95658,50,0,"SLC","US-UT","Salt Lake City",181743,74,0,1972,3888784,2387,4707164,138700.5,62,3
